# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
39H	the Greek of <a href='/Strongs/strongs-h6944H' onclick='return ABMM("/Strongs","/strongs-h6944H");'>h6944H</a>	ἅγιον	hagion	Most Holy Place	G:A	<b>ἅγιος</b>, -α, ον (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, <b>dedicated to the gods, sacred</b> (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. 1) <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) <b>of persons employed by him, as angels</b>: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) <b>Applied to persons as separated to God's service</b>: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) <b>In the moral sense of sharing God's purity</b>: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) <b>Of pure, clean sacrifices and offerings</b>: 1Co.7:14, Eph.1:4. <i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr, <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f; Cremer, 34, 594-601; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
40G		ἅγιος	hagios	holy	G:A	<b>ἅγιος</b>, -α, ον (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, <b>dedicated to the gods, sacred</b> (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. 1) <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) <b>of persons employed by him, as angels</b>: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) <b>Applied to persons as separated to God's service</b>: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) <b>In the moral sense of sharing God's purity</b>: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) <b>Of pure, clean sacrifices and offerings</b>: 1Co.7:14, Eph.1:4. <i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr, <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f; Cremer, 34, 594-601; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
40H	a Meaning of <a href='/Strongs/strongs-g40G' onclick='return ABMM("/Strongs","/strongs-g40G");'>g40G</a>	ἅγιος	hagios	holy: saint	G:A	<b>ἅγιος</b>, -α, ον (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, <b>dedicated to the gods, sacred</b> (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. 1) <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) <b>of persons employed by him, as angels</b>: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) <b>Applied to persons as separated to God's service</b>: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) <b>In the moral sense of sharing God's purity</b>: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) <b>Of pure, clean sacrifices and offerings</b>: 1Co.7:14, Eph.1:4. <i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr, <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f; Cremer, 34, 594-601; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
41		ἁγιότης	hagiotēs	holiness	G:N-F	<b>ἁγιότης</b>, -ητος, ἡ (ἅγιος), [in LXX: 2Ma.15:2 *;] <b>sanctity</b>, <b>holiness</b>, <b>regarded, properly, as an abstract quality </b>(see next word, and cf. Lft. Notes, 49; MM, <i>VGT</i>, see word): 2Co.1:12, Heb.12:10. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
42		ἁγιωσύνη	hagiōsunē	holiness	G:N-F	<b>ἁγιωσύνη</b> (cf. ἀγαθωσύνη), -ης, ἡ (ἅγιος), [in LXX: Psa.29 (30):4 96(97):12 (קֹדֶשׁ), 95(96):6 (עֹז), 144(145):5 (הוֹד), 2Ma.3:12 *;] <b>holiness</b>, the state in man resulting from ἁγιασμός, which see: Rom.1:4, 2Co.7:1, 1Th.3:13 (Cremer, 52; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
43		ἀγκάλη	agkalē	arm	G:N-F	<b>ἀγκάλη,-ης, ἡ</b> (ἄγκος, <b>a bend</b>), [in LXX for אַצִּיל, חֵיק;] <b>the bent arm</b>: Luk.2:28 (cf. ἐναγκαλίζομαι). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
44		ἄγκιστρον	agkistron	fishhook	G:N-N	<b>ἄγκιστρον</b>, -ου, τό (ἄγκος, a bend), [in LXX חַכָּה, etc;] <b>a fish-hook</b>: Mat.17:27. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
45		ἄγκυρα	agkura	anchor	G:N-F	<b>ἄγκυρα</b>, -ας, ἡ (ἄγκος, a bend), [in Sm: Jer.52:18 *;] <b>an anchor</b>: Act.27:29, 30 40; figuratively (MM, <i>VGT</i>, see word), Heb.6:19. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
46		ἄγναφος	agnaphos	unshrunk	G:A	<b>ἄγναφος</b>, -ον (= ἄγναπτος, γνάπτω, late form of κνάπτω, <b>to card wool</b>), <b>uncarded, undressed</b>, i.e. new (MM, <i>VGT</i>, see word): Mat.92:6, Mrk.2:21. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
47		ἁγνεία	hagneia	purity	G:N-F	<b>ἁγνεία</b> (WH, ἁγνία), [in LXX for טָהֳרָה, נָזִיר, נֶזֶר, etc;] <b>purity</b>: 1Ti.4:12, 5:2 (Cremer, 58. For exx. of ceremonial use in π, see MM, <i>Exp.</i>, iv). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
48		ἁγνίζω	hagnizō	to purify	G:V	<b>ἁγνίζω</b> (&gt; ἁγνός), [in LXX always ceremonially, chiefly for קָדַשׁ;] <b>to purify</b>, <b>cleanse from defilement</b>; (a) <b>ceremonially</b>: Jhn.11:55, Act.21:24, 26 24:18; (b) <b>morally</b>: Jas.4:8, 1Pe.1:22, 1Jn.3:3. <i>SYN.</i>: καθαρίζω, which see (and see: ἁγνός). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
49		ἁγνισμός	hagnismos	purification	G:N-M	<b>ἁγνισμός</b>, -οῦ, ὁ (&gt; ἁγνίζω), [in LXX: Num.6:5 (נֵזֶר) 8:7 19:17 (חַטָּאָה), etc;] <b>purification</b>: in ceremonial sense, Act.21:26 (LXX). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
50		ἀγνοέω	agnoeō	be ignorant	G:V	<b>ἀγνοέω</b>, -ῶ (&gt; ἁγνίζω), [in LXX for שָׁגָה, שָׁגַג, אָשַׁם, etc;] 1) <b>to be ignorant</b>, <b>not to know</b>: absol, Ι Ti 1:13, Heb.5:2; with accusative, Act.13:27 17:23, Rom.10:3, 2Co.2:11; ἐν οἷς, 2Pe.2:12; before ὅτι, Rom.2:4 6:3 7:1, 1Co.14:38; οὐ θέλω ὑμᾶς ἀγνοεῖν, <b>a Pauline phrase</b>: with accusative, Rom.11:25; before ὑπέρ, 2Co.1:8; περί, 1Co.12:1, 1Th.4:13. ὅτι, Rom.1:13, 1Co.10:1 (for similar usage in π, V. MM, <i>VGT</i>, see word). Pass: 1Co.14:38, 2Co.6:9, Gal.1:22. 2) <b>not to understand</b>: with accusative, Mrk.9:32, Luk.9:45. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
51		ἀγνόημα	agnoēma	error	G:N-N	<b>ἀγνόημα</b>, -τός, τό (ἀγνοέω), [in LXX: Gen.43:12 (מִשְׁגֶּה), Tob.3:3, Jdth.5:20, Sir.23:2 51:19, 1Ma.13:39 *;] <b>a sin of ignorance</b> (so in π; see MM, <i>VGT</i>, see word): Heb.9:7. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
52		ἄγνοια	agnoia	ignorance	G:N-F	<b>ἄγνοια</b>, -ας, ἡ (ἀγνοέω), [in LXX chiefly for אָשָׁם, שְׁגָגָה;] <b>ignorance</b>: Act.3:17 17:30, Eph.4:18 (with sense of wilful blindness; cf. MM, <i>VGT</i>, see word), 1Pe.1:14. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
53		ἁγνός	hagnos	pure	G:A	<b>ἁγνός</b>, -ή, -όν (ἅγος, see: ἅγιος), [in LXX chiefly for טָהוֹר (Pss, and Pr. only), also 2Ma.13:8, 4Ma.18:7, al;] 1) <b>free from ceremonial defilement</b>, in a condition prepared for worship (for exx. of pagan usage, V. MM, <i>VGT</i>, see word). 2) <b>holy</b>, <b>sacred</b>, <b>venerable</b> (II Mac, l.with). 3) As in OT (cl.), <b>pure</b>, <b>chaste</b>, <b>undefiled</b>, <b>guiltless</b>; (a) <b>of persons</b>: 2Co.7:11 11:12, 1Ti.5:22, Tit.2:5, 1Jn.3:3; (b) <b>of things</b>: Php.4:8, Jas.3:17, 1Pe.3:2. <i>SYN.</i>: εἰλικρινής (which see), <b>pure</b>, primarily as winnowed, purged, first found in ethical sense in NT (<b>sincere</b>). On the equivalence of ἁ. and καθαρός (which see), see <i>DCG</i>, ii, 459a though Westc. (<i>Epp. Jo.</i>, 101) notes a distinction between them. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
54		ἁγνότης	hagnotēs	purity	G:N-F	<b>ἁγνότης</b>, -τητος, ἡ (ἁγνός), <b>purity</b>, <b>chastity</b> (cf. ἁγιότης): 2Co.6:6 11:3. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
55		ἁγνῶς	hagnōs	purely	G:ADV	<b>ἁγνῶς</b> (ἁγνός), <i>adv.</i>, <b>purely</b>, <b>with pure motives</b>: Php.1:17. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
56		ἀγνωσία	agnōsia	ignorance	G:N-F	<b>ἀγνωσία</b>, -ας, ἡ (γινώσκω), [in LXX: Job.35:16 (בִּבְלִי־דַּעַת), Wis.13:1, 3Ma.5:27 *;] <b>ignorance</b> (opposite to γνῶσις): 1Co.15:34, 1Pe.2:15 (see Hort in l; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
57		ἄγνωστος	agnōstos	unknown	G:A	<b>ἄγνωστος</b>, -ον (γινώσκω), [in LXX: Wis.11:18 18:3, 2Ma.1:19 2:7 (Cremer, 157) *;] <b>unknown</b>: Act.17:23 (cf. MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
58		ἀγορά	agora	marketplace	G:N-F	<b>ἀγορά</b>, -ας, ἡ (ἀγείρω, <b>to bring together</b>) [in LXX for עִזָּבוֹן, שׁוּק;] 1) <b>an assembly</b> (Hom, Xen, al.). 2) <b>a place of assembly</b>, <b>a public place</b> or <b>forum</b>, <b>a market-place</b> (Hom, Thuc, al; LXX): Mat.11:16 20:2 23:7, Mrk.6:56 (cf. MM, <i>VGT</i>, see word, ἀγυιά) 7:4 (Bl, §46, 7) 12:38, Luk.7:32 (Bl, l.with) 11:43 20:46, Act.16:19 17:7 (Cremer, 59; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
59		ἀγοράζω	agorazō	to buy	G:V	<b>ἀγοράζω</b> (ἀγορά), [in LXX chiefly for שׁבר, קנה;] 1) <b>to frequent the ἀγορά </b> (Hdt, al.). 2) <b>to buy in the market</b>, <b>purchase</b> (Xen, al; LXX; in π. very common in deeds of sale, see MM, <i>VGT</i>, see word): absol, Mat.21:12, Mrk.11:15; with accusative of thing(s), Mat.13:44, 46, al; before παρά, with genitive of person(s), Rev.3:18 (LXX, Polyb.); ἐκ, Mat.27:7; with genitive pret, Mrk.6:37, al; metaphorically, 1Co.6:20 7:23, 2Pe.2:1, Rev.5:9 14:3, 4. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
60		ἀγοραῖος	agoraios	of the marketplace	G:A	<b>ἀγοραῖος</b>, -ον (ἀγορά), 1) <b>frequenting the ἀγορά </b>, <b>a lounger in the ἀγορά </b> (Xen, al.): Act.17:5. 2) In late writers (Strab, al.), <b>proper to the ἀγορά </b>: ἀγοραῖοι (sc. ἥμεραι) ἀγονται (cf. Lat. conventus agere), <b>court-days are kept</b>, Act.19:38 (for exx. of both usages, see MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
61		ἄγρα	agra	catch	G:N-F	<b>ἄγρα</b>, -ας, ἡ (ἄγω), 1) <b>the chase, a hunting</b> or <b>catching</b>: Luk.5:4. 2) <b>that which is taken, a catch</b>: of fish, Luk.5:9. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
62		ἀγράμματος	agrammatos	unschooled	G:A	<b>ἀγραυλέω</b>, -ῶ (ἀγραυλος, <b>dwelling in the field</b>; ἀγρός, αὐλή), <b>to live in the fields</b>: Luk.2:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
63		ἀγραυλέω	agrauleō	to live outside	G:V	<b>to dwell in the field </b>, (New Testament) (<a href="javascript:void(0)" title="Middle Liddell, Perseus">ML</a>)
64		ἀγρεύω	agreuō	to catch	G:V	<b>ἀγρεύω</b> (ἄγρα), [in LXX: Job.10:16, Pro.5:22 6:25,26, Hos.5:2 (לקח ni, שׁחט, etc.)*;] <b>to catch</b> or <b>take</b> by hunting or fishing; metaphorically, Mrk.12:13. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
65		ἀγριέλαιος	agrielaios	wild olive tree	G:N-F	<b>ἀγρι-έλαιος</b>, -ον 1) <b>of the wild olive</b> (Anth.). 2) As subst, <b>the wild olive</b>: Rom.11:17, 24 (<i>CGT</i>, in 1; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
66		ἄγριος	agrios	wild	G:A	<b>ἄγριος</b>, -α, -ον (ἀγρός), [in LXX for שָׂדֶה, etc;] 1) <b>living in fields, wild</b>: μέλι. Mat.3:4, Mrk.1:6. 2) <b>savage, fierce</b>: Ju 13. (Cf. usage in π. of a malignant wound; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
67		Ἀγρίππας	Agrippas	Agrippa	N:N-M-P	<b>Ἀγρίππας</b>, -α (Bl, §7, 2), ὁ <b>Agrippa</b> (II): Act.25:13, 22, 23, 24, 26 26:1, 2, 19, 27, 28, 32. (For Agrippa I, see: Ἡρῴδης, 3.) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
68		ἀγρός	agros	Field of	G:N-M	<b>ἀγρός</b>, -οῦ, ὁ, [in LXX chiefly for שָׂדֶה]; 1) <b>a field</b>: Mat.6:28, al. 2) <b>the country</b>: Mrk.15:21, al; pl, <b>country places, farms</b>: Mrk.5:14 6:36 56, Luk.8:34 9:12. 3) = χωρίον <b>a piece of ground</b>: Mrk.10:29, Act.4:27, al. (On the occurrence of this word as compared with χώρα, χωρίον see MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
68G		ἀγρός	agros	field	G:N-M	<b>ἀγρός</b>, -οῦ, ὁ, [in LXX chiefly for שָׂדֶה]; 1) <b>a field</b>: Mat.6:28, al. 2) <b>the country</b>: Mrk.15:21, al; pl, <b>country places, farms</b>: Mrk.5:14 6:36 56, Luk.8:34 9:12. 3) = χωρίον <b>a piece of ground</b>: Mrk.10:29, Act.4:27, al. (On the occurrence of this word as compared with χώρα, χωρίον see MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
68H	a Part of <a href='/Strongs/strongs-g184' onclick='return ABMM("/Strongs","/strongs-g184");'>g184</a>	ἀγρός	agros	Field (of blood)	G:N-M	<b>ἀγρός</b>, -οῦ, ὁ, [in LXX chiefly for שָׂדֶה]; 1) <b>a field</b>: Mat.6:28, al. 2) <b>the country</b>: Mrk.15:21, al; pl, <b>country places, farms</b>: Mrk.5:14 6:36 56, Luk.8:34 9:12. 3) = χωρίον <b>a piece of ground</b>: Mrk.10:29, Act.4:27, al. (On the occurrence of this word as compared with χώρα, χωρίον see MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
69		ἀγρυπνέω	agrupneō	be watchful	G:V	<b>ἀγρυπνέω</b>, -ῶ (ἄγρυπνος, <b>seeking sleep</b>; ἀγρεύω, ὕπνος), [in LXX chiefly for שׁקד;] <b>to be sleepless, wakeful</b> (Theogn, Xen, al.); metaphorically (LXX) = cl. ἐγρήγορα, <b>to be watchful, vigilant</b>: Mrk.13:33, Luk.21:36, Eph.6:18, Heb.13:17. <i>SYN.</i>: γρηγορέω, which see; νήφω, associated with γ. in 1Pe.5:8, expressing a wariness which results from self-control, a condition of moral, not merely mental alertness (see M, <i>Th.</i>, I, 5:6). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
70		ἀγρυπνία	agrupnia	sleeplessness	G:N-F	<b>ἀγρυπνία</b>, -ας, ἡ (see supr.), [in LXX: Si.9, 2Ma.2:26 *;] <b>sleeplessness, watching</b>: 2Co.6:5 11:27. (Plat, Hdt; for exx. in π, see MM, VGT, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
71		ἄγω	agō	to bring	G:V	<b>ἄγω</b>, [in LXX for בּוא hi, לקח, נהג, etc;] 1) <b>to lead, bring, carry</b>: with ace, before ἐπί, εἰς, ἕως, πρός and simple dative; metaphorically, <b>to lead, guide, impel</b>: Jhn.10:16 Rom.2:4, Heb.2:10, 2Ti.3:6, al. 2) <b>to spend</b> or <b>keep</b> a day: Luk.24:21, Act.19:38 3) Intrans, <b>to go</b>: subjunc, ἄγωμεν, Mat.2:46, al. (Cramer, 61; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
72		ἀγωγή	agōgē	self-conduct	G:N-F	<b>ἀγωγή</b>, -ῆς, ἡ (ἄγω), [in LXX: Est.2:20 10:3, 2Ma.4:16 6:8 11:24, 3Ma.4:10 *;] 1) <b>a carrying away</b>. 2) <b>a leading, guiding</b>; metaphorically, <b>training</b>; hence, from the expression ἀ. τοῦ βίου, absol, <b>conduct, way of life</b>: 2Ti.3:10 (Cremer, 61; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
73		ἀγών	agōn	fight	G:N-M	<b>ἀγών</b>, -ῶνος, ὁ (ἄγω), [in LXX: Isa.7:13 (לאה), Est.4:17, Wis.4:2 10:12, II Mac.6, 4Mac.5 *;] 1) <b>a gathering</b>, esp. for games. 2) <b>a place of assembly</b>. 3) <b>a contest, struggle, trial</b>; metaphorically (MM, <i>VGT</i>, see word), (a) <b>of the Christian life as a contest and struggle</b>: Php.1:30, 1Th.2:2, 1Ti.6:12, 2Ti.4:7 Heb.12:1; (b) <b>solicitude, anxiety</b>: Col.2:1. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
74		ἀγωνία	agōnia	a struggle	G:N-F	<b>ἀγωνία</b>, -ας, ἡ (ἀγών), [in LXX: 2Ma.3:14,16 15:19 *;] 1) <b>a contest, wrestling</b> (Eur, Xen.). 2) Of the mind, <b>great fear, agony, anguish</b> (Dem, Arist.): Luk.22:44 (cf. Field, <i>Notes</i>, 77 f; Abbott, <i>Essays</i>, 101 f; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
75		ἀγωνίζομαι	agōnizomai	to struggle	G:V	<b>ἀγωνίζομαι</b> (ἀγών), [in LXX: Da TH 6:14 (שׂוּם בָּל), Sir.4:28, I, II, 4Mac.5 *;] 1) <b>to contend for a prize</b>: 1Co.9:25, 2) <b>to fight, struggle, strive</b>: Jhn.18:36; metaphorically (MM, <i>VGT</i>, see word). Col.1:29 4:12, 1Ti.4:10 6:12, 2Ti.4:7; with inf. (Field, <i>Notes</i>, 66), Luk.13:24 (Cremer, 609) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
76	the Greek of <a href='/Strongs/strongs-h121G' onclick='return ABMM("/Strongs","/strongs-h121G");'>h121G</a>	Ἀδάμ	Adam	Adam	N:N-M-P	<b>Ἀδάμ</b>, ὁ indecl. (Heb. אָדָם), <b>Adam</b>: Luk.3:38, Rom.5:14, 1Co.15:22,45, 1Ti.2:13,14 Ju 14. Christ ὁ ἔσχατος Ἀ, 1Co.15:45. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
77		ἀδάπανος	adapanos	free	G:A	<b>ἀδάπανος</b>, -ον (δαπάνη), <b>without expense, free of charge</b>: 1Co.9:18. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
78		Ἀδδί	Addi	Addi	N:N-M-P	<b>Ἀδδεί</b> (Rec. Ἀδδί), ὁ, <b>Addei</b>: Luk.3:28. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
79		ἀδελφή	adelphē	sister	G:N-F	<b>ἀδελφή</b>, -ῆς, ἡ (ἀδελφός), [in LXX for אָהוֹת;] <b>a sister</b>: Mat.19:29, al; metaphorically (MM, <i>VGT</i>, see word), of a member of the Christian community: Rom.16:1, 1Co.7:15 Jas.21:15, al. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
80		ἀδελφός	adelphos	brother	G:N-M	<b>ἀδελφός</b>, -οῦ, ὁ (ἀ- copul, δελφύς, womb), in cl, <b>a brother</b>, born of the same parent or parents. [In LXX (Hort, <i>Ja.</i>, 102f.), for אָח;] 1) lit. of a brother (Gen.4:2, al.). 2) Of a neighbour (Lev.19:17). 3) Of a member of the same nation (Exo.2:14, Deu.15:3). In NT in each of these senses (1. Mat.1:2, al; 2. Mat.7:3; 3. Rom.9:3) and also, 4) <b>of a fellow-Christian</b>: 1Co.1:1, Act.9:30. This usage finds illustration in π, where ἀ. is used of members of a pagan religious community (M, <i>Th.</i>, I, 1:4; MM, <i>VGT</i>, see word). The ἀδελφοὶ τ. Κυρίου (Mat.12:46-49 13:55 28:10, Mrk.3:31-34, Luk.8:19-21, Jhn.2:12 7:3, 5 10 20:17, Act.1:14, 1Co.9:5) may have been sons of Joseph and Mary (Mayor, <i>Ja.</i>, Intr. viff; <i>DB</i>, i, 320ff.) or of Joseph by a former marriage (Lft, <i>Gal.</i>, 252ff; <i>DCG</i>, i, 232ff.), but the view of Jerome, which makes ἀ. equivalent to ἀνεψιός, is inconsistent with Greek usage. (Cremer, 66.) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
81		ἀδελφότης	adelphotēs	brotherhood	G:N-F	<b>ἀδελφότης</b>, -ητος, ἡ (ἀδελφός), [in LXX: 1Ma.12:10,17, 4Mac.5 *;] 1) abstract, <b>brotherhood, brotherly affection</b> (LXX). 2) Concrete, <b>the brotherhood</b>, <b>the Christian community</b>: 1Pe.2:17 5:9 (MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
82		ἄδηλος	adēlos	unclear	G:A	<b>ἄ-δηλος</b>, -ον (δῆλος), [in LXX: Ps 50 (51):6 (בַּטֻחוֹת);] 1) <b>unseen, unobserved, not manifest</b> (Ps, l.with): Luk.11:44. 2) <b>uncertain, indistinct</b>: 1Co.14:8. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
83		ἀδηλότης	adēlotēs	uncertainty	G:N-F	<b>ἀδηλότης</b>, -ητος, ἡ (ἄδηλος), <b>uncertainty</b>: 1Ti.6:17. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
84		ἀδήλως	adēlōs	uncertainly	G:ADV	<b>ἀδήλως</b> (ἄδηλος), <i>adv.</i> <b>uncertainly</b>: of direction, 1Co.9:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
85		ἀδημονέω	adēmoneō	be distressed	G:V	<b>ἀδημονέω</b>, -ῶ (on the derivation, see MM, <i>VGT</i>, see word), [in Aq: Job.18:20; Sm: Psa.60 (61):3 115:2 (116:11), Ecc.7:17 (16), Eze.3:15 *;] <b>to be troubled, distressed</b> (MM, l.with): Mat.26:37, Mrk.14:33, Php.2:26. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
